label,mode,final_full_layers,token_keep_ratio,num_samples,top1_percent,top1_ci95_low,top1_ci95_high,delta_top1_points,bootstrap_std_points,ci95_low_points,ci95_high_points,num_resamples,dominant_flops_ratio,correction_to_approx_flops,final_full_to_approx_flops,backbone_compute_p50_ms,model_compute_p50_ms,request_p50_ms,correction_p50_ms,final_full_p50_ms,avg_wire_bytes_per_sample,avg_actual_patch_keep_ratio
full_sequential,full_sequential,,,1024,87.3046875,85.15625,89.35546875,0.0,0.0,0.0,0.0,10000,1.0,0.0,0.0,192.1405792236328,203.4686803817749,740.3905279934406,0.0,0.0,174666.087890625,1.0
l2_approx_only,l2_approx_only,,,1024,83.49609375,81.25,85.83984375,-3.80859375,0.8182487601777532,-5.46875,-2.24609375,10000,1.0,0.0,0.0,187.8281831741333,193.89069080352783,225.39398400112987,0.0,0.0,14366.8798828125,1.0
l2l0_n0_k0.25,l2l0,0,0.25,1024,86.5234375,84.47265625,88.57421875,-0.78125,0.5533906767322446,-1.85546875,0.29296875,10000,1.2011494252873562,0.20114942528735633,0.0,280.83598613739014,355.33607006073,554.5237204059958,58.695316314697266,0.0,265318.9130859375,0.25
l2l0_n0_k0.4,l2l0,0,0.4,1024,86.42578125,84.375,88.57421875,-0.87890625,0.5264296530796323,-1.953125,0.09765625,10000,1.2873563218390804,0.28735632183908044,0.0,327.4843692779541,394.46842670440674,614.5342669915408,82.48448371887207,0.0,265318.9130859375,0.390625
l2l0_n0_k0.6,l2l0,0,0.6,1024,86.42578125,84.375,88.57421875,-0.87890625,0.5252063041557875,-1.953125,0.09765625,10000,1.4118773946360152,0.4118773946360153,0.0,321.97678089141846,395.4298496246338,616.5823070332408,96.14074230194092,0.0,265318.9130859375,0.59375
l2l0_n0_k1,l2l0,0,1.0,1024,87.3046875,85.25390625,89.35546875,0.0,0.43481246125602846,-0.87890625,0.87890625,10000,1.660919540229885,0.6609195402298851,0.0,320.1794624328613,380.820631980896,578.7767840083688,116.08612537384033,0.0,265318.9130859375,1.0
l2l0_n2_k0.25,l2l0,2,0.25,1024,86.23046875,84.1796875,88.28125,-1.07421875,0.5618326102132845,-2.24609375,0.0,10000,1.1951149425287357,0.20538415003024804,0.05263157894736842,289.8828983306885,369.59362030029297,535.3435515426099,66.7109489440918,9.312629699707031,265318.9130859375,0.25
l2l0_n2_k0.4,l2l0,2,0.4,1024,86.62109375,84.47265625,88.76953125,-0.68359375,0.526846266544061,-1.7578125,0.29296875,10000,1.278735632183908,0.29340592861464004,0.05263157894736842,330.5468559265137,399.04701709747314,591.4013159926981,131.49213790893555,9.187459945678711,265318.9130859375,0.390625
l2l0_n2_k0.6,l2l0,2,0.6,1024,86.5234375,84.47265625,88.57421875,-0.78125,0.5163019785474308,-1.85546875,0.1953125,10000,1.399521072796935,0.42054849768098407,0.05263157894736842,353.1639575958252,406.796932220459,566.3763368502259,145.26546001434326,9.328126907348633,265318.9130859375,0.59375
l2l0_n2_k1,l2l0,2,1.0,1024,87.20703125,85.15625,89.16259765624999,-0.09765625,0.44715858932377583,-0.9765625,0.78125,10000,1.6410919540229885,0.6748336358136721,0.05263157894736842,339.3282890319824,396.54672145843506,569.4729874376208,120.35930156707764,9.195208549499512,265318.9130859375,1.0
l2l0_n3_k0.25,l2l0,3,0.25,1024,86.5234375,84.47265625,88.57421875,-0.78125,0.5498482798570545,-1.85546875,0.29296875,10000,1.189080459770115,0.20441130785958372,0.08108108108108109,307.8591823577881,362.0854616165161,557.2355554904789,93.7737226486206,13.984203338623047,265318.9130859375,0.25
l2l0_n3_k0.4,l2l0,3,0.4,1024,86.23046875,84.1796875,88.28125,-1.07421875,0.5262555233763089,-2.1484375,-0.09765625,10000,1.2701149425287357,0.2920161540851196,0.08108108108108109,325.5702257156372,406.67974948883057,589.258432155475,87.14056015014648,13.796806335449219,265318.9130859375,0.390625
l2l0_n3_k0.6,l2l0,3,0.6,1024,86.71875,84.66796875,88.76953125,-0.5859375,0.5166172520580733,-1.66015625,0.390625,10000,1.3871647509578544,0.41855648752200475,0.08108108108108109,313.3748769760132,370.6563711166382,542.2856414224952,80.53910732269287,13.984441757202148,265318.9130859375,0.59375
l2l0_n3_k1,l2l0,3,1.0,1024,87.109375,85.05859375,89.0625,-0.1953125,0.4571348935079507,-1.07421875,0.68359375,10000,1.6212643678160918,0.6716371543957751,0.08108108108108109,337.0703458786011,421.29671573638916,651.0281465016305,121.03140354156494,13.79692554473877,265318.9130859375,1.0
l2l1l0_n0_k0.25,l2l1l0,0,0.25,1024,86.42578125,84.375,88.4765625,-0.87890625,0.5259764254991859,-1.953125,0.09765625,10000,1.27816091954023,0.27816091954022987,0.0,412.84358501434326,489.6721839904785,708.9152110274881,161.57817840576172,0.0,305725.095703125,0.25
