[run_local] Starting local AppCorr server...
[run_local] Server PID: 3165310
[run_local] Launching mobile client in 2s with config: /NHNHOME/share/cjpark/AppCorr-flops/offload/config/ade20k/ade20k_m2f_interleaved_static.json
=== Starting AppCorr Server ===
[*] Listening for Data on 0.0.0.0:39990
[*] Listening for Results on 0.0.0.0:39991
[ServerSender] Waiting for Mobile connection on 0.0.0.0:39991...
=== Starting AppCorr Mobile Client ===
[*] Target Server: 127.0.0.1
[*] Dataset Root: None
[*] Config Path: /NHNHOME/share/cjpark/AppCorr-flops/offload/config/ade20k/ade20k_m2f_interleaved_static.json
[*] Warm-up Requests: 0
[*] Batch Size (Images): 1
[*] Config Overrides: ['appcorr_kwargs.token_keep_thres=none', 'appcorr_kwargs.token_keep_ratio=0.25']
[MobileSender] Connection failed ([Errno 111] Connection refused). Retrying in 1s...
[MobileReceiver] Connected to 127.0.0.1:39991 (local=('127.0.0.1', 44836), peer=('127.0.0.1', 39991))
[ServerSender] Mobile connected from ('127.0.0.1', 44836)
[ServerSender] Downlink ready sent (local=('127.0.0.1', 39991), peer=('127.0.0.1', 44836))
[MobileReceiver] Downlink ready from server (server_time=1787606841.869212)
[MobileSender] Connected to 127.0.0.1:39990 (local=('127.0.0.1', 38190), peer=('127.0.0.1', 39990))
Using the latest cached version of the dataset since merve/scene_parse_150 couldn't be found on the Hugging Face Hub (offline mode is enabled).
Found the latest cached dataset configuration 'default' at /NHNHOME/huggingface/datasets/merve___scene_parse_150/default/0.0.0/b83d71b405b381bc5e495f7d497fb844a8de5ffc (last modified on Tue May 19 13:03:15 2026).
[Worker] Started.
[Worker] Started with default device: cuda
[Decoder Thread] Started.
[Reaper Thread] Started.
[GPU Worker] Started.
[Worker] Triton runtime verified (kernels compile).
[Source] Loading ade20k from None (Loader Batch: 1)...
[Source] Logs will be saved to logs/offload/ade20k_m2f_interleaved_static_20260825_062724
[Source] Synchronizing time with server (10 rounds)...
[Source] Sending warm-up ping...
[Source] Time Sync Complete. Avg Offset: 0.40 ms
[Source] Starting Batch Evaluation Loop...

  0%|          | 0/2000 [00:00<?, ?it/s]/home/nxclab/anaconda3/envs/appcorr/lib/python3.11/site-packages/torch/functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4382.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]

mIoU: 67.91 | aAcc: 98.50 | Processed: 1 | Avg. Transfer: 2815.12 KB/image:   0%|          | 0/2000 [00:30<?, ?it/s]
mIoU: 67.91 | aAcc: 98.50 | Processed: 1 | Avg. Transfer: 2815.12 KB/image:   0%|          | 1/2000 [00:30<16:42:26, 30.09s/it]
mIoU: 39.81 | aAcc: 58.83 | Processed: 2 | Avg. Transfer: 2357.73 KB/image:   0%|          | 1/2000 [00:35<16:42:26, 30.09s/it]
mIoU: 39.81 | aAcc: 58.83 | Processed: 2 | Avg. Transfer: 2357.73 KB/image:   0%|          | 2/2000 [00:35<8:36:27, 15.51s/it] 
mIoU: 46.39 | aAcc: 72.67 | Processed: 3 | Avg. Transfer: 2207.17 KB/image:   0%|          | 2/2000 [00:40<8:36:27, 15.51s/it]
mIoU: 46.39 | aAcc: 72.67 | Processed: 3 | Avg. Transfer: 2207.17 KB/image:   0%|          | 3/2000 [00:40<6:02:35, 10.89s/it]
mIoU: 40.74 | aAcc: 73.26 | Processed: 4 | Avg. Transfer: 2209.46 KB/image:   0%|          | 3/2000 [00:45<6:02:35, 10.89s/it]
mIoU: 40.74 | aAcc: 73.26 | Processed: 4 | Avg. Transfer: 2209.46 KB/image:   0%|          | 4/2000 [00:45<4:46:21,  8.61s/it]
mIoU: 45.03 | aAcc: 74.29 | Processed: 5 | Avg. Transfer: 2203.26 KB/image:   0%|          | 4/2000 [00:50<4:46:21,  8.61s/it]
mIoU: 45.03 | aAcc: 74.29 | Processed: 5 | Avg. Transfer: 2203.26 KB/image:   0%|          | 5/2000 [00:50<3:54:26,  7.05s/it]
mIoU: 47.22 | aAcc: 79.15 | Processed: 6 | Avg. Transfer: 2284.90 KB/image:   0%|          | 5/2000 [00:55<3:54:26,  7.05s/it]
mIoU: 47.22 | aAcc: 79.15 | Processed: 6 | Avg. Transfer: 2284.90 KB/image:   0%|          | 6/2000 [00:55<3:37:57,  6.56s/it]
mIoU: 49.91 | aAcc: 81.67 | Processed: 7 | Avg. Transfer: 2228.96 KB/image:   0%|          | 6/2000 [01:01<3:37:57,  6.56s/it]
mIoU: 49.91 | aAcc: 81.67 | Processed: 7 | Avg. Transfer: 2228.96 KB/image:   0%|          | 7/2000 [01:01<3:29:41,  6.31s/it]
mIoU: 46.67 | aAcc: 82.59 | Processed: 8 | Avg. Transfer: 2160.55 KB/image:   0%|          | 7/2000 [01:06<3:29:41,  6.31s/it]
mIoU: 46.67 | aAcc: 82.59 | Processed: 8 | Avg. Transfer: 2160.55 KB/image:   0%|          | 8/2000 [01:06<3:11:26,  5.77s/it]
mIoU: 44.97 | aAcc: 83.21 | Processed: 9 | Avg. Transfer: 2187.40 KB/image:   0%|          | 8/2000 [01:11<3:11:26,  5.77s/it]
mIoU: 44.97 | aAcc: 83.21 | Processed: 9 | Avg. Transfer: 2187.40 KB/image:   0%|          | 9/2000 [01:11<3:09:38,  5.71s/it]
mIoU: 44.96 | aAcc: 83.43 | Processed: 10 | Avg. Transfer: 2156.45 KB/image:   0%|          | 9/2000 [01:15<3:09:38,  5.71s/it]
mIoU: 44.96 | aAcc: 83.43 | Processed: 10 | Avg. Transfer: 2156.45 KB/image:   0%|          | 10/2000 [01:15<2:47:55,  5.06s/it]
mIoU: 45.89 | aAcc: 83.93 | Processed: 11 | Avg. Transfer: 2118.01 KB/image:   0%|          | 10/2000 [01:19<2:47:55,  5.06s/it]
mIoU: 45.89 | aAcc: 83.93 | Processed: 11 | Avg. Transfer: 2118.01 KB/image:   1%|          | 11/2000 [01:19<2:40:59,  4.86s/it]
mIoU: 43.83 | aAcc: 83.58 | Processed: 12 | Avg. Transfer: 2136.34 KB/image:   1%|          | 11/2000 [01:24<2:40:59,  4.86s/it]
mIoU: 43.83 | aAcc: 83.58 | Processed: 12 | Avg. Transfer: 2136.34 KB/image:   1%|          | 12/2000 [01:24<2:40:22,  4.84s/it]
mIoU: 46.81 | aAcc: 84.66 | Processed: 13 | Avg. Transfer: 2236.06 KB/image:   1%|          | 12/2000 [01:30<2:40:22,  4.84s/it]
mIoU: 46.81 | aAcc: 84.66 | Processed: 13 | Avg. Transfer: 2236.06 KB/image:   1%|          | 13/2000 [01:30<2:48:59,  5.10s/it]
mIoU: 46.79 | aAcc: 85.29 | Processed: 14 | Avg. Transfer: 2242.45 KB/image:   1%|          | 13/2000 [01:36<2:48:59,  5.10s/it]
mIoU: 46.79 | aAcc: 85.29 | Processed: 14 | Avg. Transfer: 2242.45 KB/image:   1%|          | 14/2000 [01:36<2:55:49,  5.31s/it]
mIoU: 45.28 | aAcc: 81.39 | Processed: 15 | Avg. Transfer: 2278.45 KB/image:   1%|          | 14/2000 [01:41<2:55:49,  5.31s/it]
mIoU: 45.28 | aAcc: 81.39 | Processed: 15 | Avg. Transfer: 2278.45 KB/image:   1%|          | 15/2000 [01:41<2:53:43,  5.25s/it]
mIoU: 43.16 | aAcc: 79.98 | Processed: 16 | Avg. Transfer: 2301.19 KB/image:   1%|          | 15/2000 [01:46<2:53:43,  5.25s/it]
mIoU: 43.16 | aAcc: 79.98 | Processed: 16 | Avg. Transfer: 2301.19 KB/image:   1%|          | 16/2000 [01:46<2:54:05,  5.26s/it]
mIoU: 43.35 | aAcc: 80.61 | Processed: 17 | Avg. Transfer: 2315.37 KB/image:   1%|          | 16/2000 [01:52<2:54:05,  5.26s/it]
mIoU: 43.35 | aAcc: 80.61 | Processed: 17 | Avg. Transfer: 2315.37 KB/image:   1%|          | 17/2000 [01:52<3:00:10,  5.45s/it]
mIoU: 46.08 | aAcc: 81.00 | Processed: 18 | Avg. Transfer: 2369.26 KB/image:   1%|          | 17/2000 [01:57<3:00:10,  5.45s/it]
mIoU: 46.08 | aAcc: 81.00 | Processed: 18 | Avg. Transfer: 2369.26 KB/image:   1%|          | 18/2000 [01:57<2:55:40,  5.32s/it]
mIoU: 47.13 | aAcc: 82.54 | Processed: 19 | Avg. Transfer: 2358.63 KB/image:   1%|          | 18/2000 [02:01<2:55:40,  5.32s/it]
mIoU: 47.13 | aAcc: 82.54 | Processed: 19 | Avg. Transfer: 2358.63 KB/image:   1%|          | 19/2000 [02:01<2:47:36,  5.08s/it]
mIoU: 48.24 | aAcc: 83.57 | Processed: 20 | Avg. Transfer: 2331.73 KB/image:   1%|          | 19/2000 [02:06<2:47:36,  5.08s/it]
mIoU: 48.24 | aAcc: 83.57 | Processed: 20 | Avg. Transfer: 2331.73 KB/image:   1%|          | 20/2000 [02:06<2:45:46,  5.02s/it]
mIoU: 48.56 | aAcc: 84.74 | Processed: 21 | Avg. Transfer: 2326.90 KB/image:   1%|          | 20/2000 [02:12<2:45:46,  5.02s/it]
mIoU: 48.56 | aAcc: 84.74 | Processed: 21 | Avg. Transfer: 2326.90 KB/image:   1%|          | 21/2000 [02:12<2:48:27,  5.11s/it]
mIoU: 48.30 | aAcc: 84.79 | Processed: 22 | Avg. Transfer: 2346.20 KB/image:   1%|          | 21/2000 [02:17<2:48:27,  5.11s/it]
mIoU: 48.30 | aAcc: 84.79 | Processed: 22 | Avg. Transfer: 2346.20 KB/image:   1%|          | 22/2000 [02:17<2:46:24,  5.05s/it]
mIoU: 49.12 | aAcc: 84.76 | Processed: 23 | Avg. Transfer: 2420.47 KB/image:   1%|          | 22/2000 [02:21<2:46:24,  5.05s/it]
mIoU: 49.12 | aAcc: 84.76 | Processed: 23 | Avg. Transfer: 2420.47 KB/image:   1%|          | 23/2000 [02:21<2:42:35,  4.93s/it]
mIoU: 49.20 | aAcc: 85.38 | Processed: 24 | Avg. Transfer: 2399.62 KB/image:   1%|          | 23/2000 [02:26<2:42:35,  4.93s/it]
mIoU: 49.20 | aAcc: 85.38 | Processed: 24 | Avg. Transfer: 2399.62 KB/image:   1%|          | 24/2000 [02:26<2:45:18,  5.02s/it]
mIoU: 49.25 | aAcc: 84.70 | Processed: 25 | Avg. Transfer: 2413.04 KB/image:   1%|          | 24/2000 [02:31<2:45:18,  5.02s/it]
mIoU: 49.25 | aAcc: 84.70 | Processed: 25 | Avg. Transfer: 2413.04 KB/image:   1%|▏         | 25/2000 [02:31<2:45:47,  5.04s/it]
mIoU: 49.72 | aAcc: 83.23 | Processed: 26 | Avg. Transfer: 2433.86 KB/image:   1%|▏         | 25/2000 [02:37<2:45:47,  5.04s/it]
mIoU: 49.72 | aAcc: 83.23 | Processed: 26 | Avg. Transfer: 2433.86 KB/image:   1%|▏         | 26/2000 [02:37<2:51:16,  5.21s/it]
mIoU: 50.23 | aAcc: 83.64 | Processed: 27 | Avg. Transfer: 2457.23 KB/image:   1%|▏         | 26/2000 [02:42<2:51:16,  5.21s/it]
mIoU: 50.23 | aAcc: 83.64 | Processed: 27 | Avg. Transfer: 2457.23 KB/image:   1%|▏         | 27/2000 [02:42<2:49:19,  5.15s/it]
mIoU: 49.73 | aAcc: 83.13 | Processed: 28 | Avg. Transfer: 2477.52 KB/image:   1%|▏         | 27/2000 [02:47<2:49:19,  5.15s/it]
mIoU: 49.73 | aAcc: 83.13 | Processed: 28 | Avg. Transfer: 2477.52 KB/image:   1%|▏         | 28/2000 [02:47<2:49:43,  5.16s/it]
mIoU: 49.80 | aAcc: 83.65 | Processed: 29 | Avg. Transfer: 2460.77 KB/image:   1%|▏         | 28/2000 [02:52<2:49:43,  5.16s/it]
mIoU: 49.80 | aAcc: 83.65 | Processed: 29 | Avg. Transfer: 2460.77 KB/image:   1%|▏         | 29/2000 [02:52<2:43:01,  4.96s/it]
mIoU: 49.62 | aAcc: 83.78 | Processed: 30 | Avg. Transfer: 2496.86 KB/image:   1%|▏         | 29/2000 [02:58<2:43:01,  4.96s/it]
mIoU: 49.62 | aAcc: 83.78 | Processed: 30 | Avg. Transfer: 2496.86 KB/image:   2%|▏         | 30/2000 [02:58<2:50:19,  5.19s/it]
mIoU: 50.01 | aAcc: 82.96 | Processed: 31 | Avg. Transfer: 2481.74 KB/image:   2%|▏         | 30/2000 [03:02<2:50:19,  5.19s/it]
mIoU: 50.01 | aAcc: 82.96 | Processed: 31 | Avg. Transfer: 2481.74 KB/image:   2%|▏         | 31/2000 [03:02<2:42:22,  4.95s/it]
mIoU: 49.24 | aAcc: 80.57 | Processed: 32 | Avg. Transfer: 2479.94 KB/image:   2%|▏         | 31/2000 [03:08<2:42:22,  4.95s/it]
mIoU: 49.24 | aAcc: 80.57 | Processed: 32 | Avg. Transfer: 2479.94 KB/image:   2%|▏         | 32/2000 [03:08<2:51:44,  5.24s/it]
mIoU: 48.38 | aAcc: 79.56 | Processed: 33 | Avg. Transfer: 2509.78 KB/image:   2%|▏         | 32/2000 [03:13<2:51:44,  5.24s/it]
mIoU: 48.38 | aAcc: 79.56 | Processed: 33 | Avg. Transfer: 2509.78 KB/image:   2%|▏         | 33/2000 [03:13<2:50:18,  5.19s/it]
mIoU: 48.39 | aAcc: 79.78 | Processed: 34 | Avg. Transfer: 2509.91 KB/image:   2%|▏         | 33/2000 [03:18<2:50:18,  5.19s/it]
mIoU: 48.39 | aAcc: 79.78 | Processed: 34 | Avg. Transfer: 2509.91 KB/image:   2%|▏         | 34/2000 [03:18<2:54:09,  5.32s/it]
mIoU: 48.37 | aAcc: 79.72 | Processed: 35 | Avg. Transfer: 2522.37 KB/image:   2%|▏         | 34/2000 [03:24<2:54:09,  5.32s/it]
mIoU: 48.37 | aAcc: 79.72 | Processed: 35 | Avg. Transfer: 2522.37 KB/image:   2%|▏         | 35/2000 [03:24<2:52:59,  5.28s/it]
mIoU: 48.60 | aAcc: 80.27 | Processed: 36 | Avg. Transfer: 2526.32 KB/image:   2%|▏         | 35/2000 [03:28<2:52:59,  5.28s/it]
mIoU: 48.60 | aAcc: 80.27 | Processed: 36 | Avg. Transfer: 2526.32 KB/image:   2%|▏         | 36/2000 [03:28<2:45:15,  5.05s/it]
mIoU: 48.66 | aAcc: 80.37 | Processed: 37 | Avg. Transfer: 2510.30 KB/image:   2%|▏         | 36/2000 [03:33<2:45:15,  5.05s/it]
mIoU: 48.66 | aAcc: 80.37 | Processed: 37 | Avg. Transfer: 2510.30 KB/image:   2%|▏         | 37/2000 [03:33<2:42:48,  4.98s/it]
mIoU: 49.89 | aAcc: 80.97 | Processed: 38 | Avg. Transfer: 2486.39 KB/image:   2%|▏         | 37/2000 [03:38<2:42:48,  4.98s/it]
mIoU: 49.89 | aAcc: 80.97 | Processed: 38 | Avg. Transfer: 2486.39 KB/image:   2%|▏         | 38/2000 [03:38<2:46:35,  5.09s/it]
mIoU: 51.12 | aAcc: 81.53 | Processed: 39 | Avg. Transfer: 2483.94 KB/image:   2%|▏         | 38/2000 [03:43<2:46:35,  5.09s/it]
mIoU: 51.12 | aAcc: 81.53 | Processed: 39 | Avg. Transfer: 2483.94 KB/image:   2%|▏         | 39/2000 [03:43<2:43:58,  5.02s/it]
mIoU: 52.44 | aAcc: 81.81 | Processed: 40 | Avg. Transfer: 2535.06 KB/image:   2%|▏         | 39/2000 [03:49<2:43:58,  5.02s/it]
mIoU: 52.44 | aAcc: 81.81 | Processed: 40 | Avg. Transfer: 2535.06 KB/image:   2%|▏         | 40/2000 [03:49<2:55:19,  5.37s/it]
mIoU: 52.39 | aAcc: 81.80 | Processed: 41 | Avg. Transfer: 2511.03 KB/image:   2%|▏         | 40/2000 [03:55<2:55:19,  5.37s/it]
mIoU: 52.39 | aAcc: 81.80 | Processed: 41 | Avg. Transfer: 2511.03 KB/image:   2%|▏         | 41/2000 [03:55<2:53:31,  5.31s/it]
mIoU: 53.04 | aAcc: 82.12 | Processed: 42 | Avg. Transfer: 2516.43 KB/image:   2%|▏         | 41/2000 [04:00<2:53:31,  5.31s/it]
mIoU: 53.04 | aAcc: 82.12 | Processed: 42 | Avg. Transfer: 2516.43 KB/image:   2%|▏         | 42/2000 [04:00<2:53:13,  5.31s/it]
mIoU: 52.60 | aAcc: 82.39 | Processed: 43 | Avg. Transfer: 2517.28 KB/image:   2%|▏         | 42/2000 [04:05<2:53:13,  5.31s/it]
mIoU: 52.60 | aAcc: 82.39 | Processed: 43 | Avg. Transfer: 2517.28 KB/image:   2%|▏         | 43/2000 [04:05<2:52:13,  5.28s/it]
mIoU: 52.70 | aAcc: 82.57 | Processed: 44 | Avg. Transfer: 2506.03 KB/image:   2%|▏         | 43/2000 [04:10<2:52:13,  5.28s/it]
mIoU: 52.70 | aAcc: 82.57 | Processed: 44 | Avg. Transfer: 2506.03 KB/image:   2%|▏         | 44/2000 [04:10<2:49:17,  5.19s/it]
